date,value
5/9/2016,1201
5/10/2016,2329
5/11/2016,1716
5/12/2016,10539
5/13/2016,6933
5/14/2016,3127
5/15/2016,2927
5/16/2016,2591
5/17/2016,3403
5/18/2016,5410
5/19/2016,19736
5/20/2016,17491
5/21/2016,13370
5/22/2016,13158
5/23/2016,13887
5/24/2016,15336
5/25/2016,14779
5/26/2016,18060
5/27/2016,19997
5/28/2016,19044
5/29/2016,20325
5/30/2016,16607
5/31/2016,16616
6/1/2016,13007
6/2/2016,10329
6/3/2016,10155
6/4/2016,7431
6/5/2016,16031
6/6/2016,16621
6/7/2016,18335
6/8/2016,18072
6/9/2016,18139
6/10/2016,17087
6/11/2016,16098
6/12/2016,16147
6/13/2016,17570
6/14/2016,19395
6/15/2016,18584
6/16/2016,17628
6/17/2016,21691
6/18/2016,21681
6/19/2016,19204
6/20/2016,28508
6/21/2016,26805
6/22/2016,21424
6/23/2016,19820
6/24/2016,19230
6/25/2016,21923
6/26/2016,22685
6/27/2016,24278
6/28/2016,21423
6/29/2016,27734
6/30/2016,26696
7/1/2016,28372
7/2/2016,26393
7/3/2016,27011
7/4/2016,24236
7/5/2016,23843
7/6/2016,24374
7/7/2016,28507
7/8/2016,31184
7/9/2016,27404
7/10/2016,26079
7/11/2016,20339
7/12/2016,21510
7/13/2016,20391
7/14/2016,23278
7/15/2016,22815
7/16/2016,20261
7/17/2016,20331
7/18/2016,19703
7/19/2016,15445
7/20/2016,22046
7/21/2016,27290
7/22/2016,28662
7/23/2016,25053
7/24/2016,19733
7/25/2016,25646
7/26/2016,19637
7/27/2016,23587
7/28/2016,25719
7/29/2016,21667
7/30/2016,16002
7/31/2016,16223
8/1/2016,20947
8/2/2016,20345
8/3/2016,24118
8/4/2016,24951
8/5/2016,27880
8/6/2016,20900
8/7/2016,23536
8/8/2016,24471
8/9/2016,24828
8/10/2016,31583
8/11/2016,30393
8/12/2016,29488
8/13/2016,26206
8/14/2016,29686
8/15/2016,32229
8/16/2016,34396
8/17/2016,43003
8/18/2016,35206
8/19/2016,32362
8/20/2016,37583
8/21/2016,36559
8/22/2016,36701
8/23/2016,32726
8/24/2016,29315
8/25/2016,32786
8/26/2016,35489
8/27/2016,36366
8/28/2016,33765
8/29/2016,36915
8/30/2016,39619
8/31/2016,38173
9/1/2016,40709
9/2/2016,37609
9/3/2016,30250
9/4/2016,36077
9/5/2016,35320
9/6/2016,39098
9/7/2016,43401
9/8/2016,40258
9/9/2016,44787
9/10/2016,44586
9/11/2016,39262
9/12/2016,42667
9/13/2016,49746
9/14/2016,43645
9/15/2016,38780
9/16/2016,36125
9/17/2016,31797
9/18/2016,32304
9/19/2016,36840
9/20/2016,37441
9/21/2016,38492
9/22/2016,38324
9/23/2016,44985
9/24/2016,37708
9/25/2016,39081
9/26/2016,41089
9/27/2016,41296
9/28/2016,53158
9/29/2016,70669
9/30/2016,58802
10/1/2016,49179
10/2/2016,44043
10/3/2016,32660
10/4/2016,41797
10/5/2016,39348
10/6/2016,23874
10/7/2016,25963
10/8/2016,23848
10/9/2016,23573
10/10/2016,27459
10/11/2016,27601
10/12/2016,26521
10/13/2016,24865
10/14/2016,24934
10/15/2016,20609
10/16/2016,22301
10/17/2016,26623
10/18/2016,25319
10/19/2016,29076
10/20/2016,23217
10/21/2016,22343
10/22/2016,19571
10/23/2016,20457
10/24/2016,25670
10/25/2016,27317
10/26/2016,26489
10/27/2016,27207
10/28/2016,23258
10/29/2016,22975
10/30/2016,24828
10/31/2016,26423
11/1/2016,25856
11/2/2016,26565
11/3/2016,30183
11/4/2016,28981
11/5/2016,25849
11/6/2016,25287
11/7/2016,27790
11/8/2016,26744
11/9/2016,25489
11/10/2016,117906
11/11/2016,159186
11/12/2016,33775
11/13/2016,22762
11/14/2016,24449
11/15/2016,30817
11/16/2016,33673
11/17/2016,35712
11/18/2016,50298
11/19/2016,42964
11/20/2016,47789
11/21/2016,52663
11/22/2016,51329
11/23/2016,48490
11/24/2016,46822
11/25/2016,29973
11/26/2016,25239
11/27/2016,27955
11/28/2016,31749
11/29/2016,29694
11/30/2016,27470
12/1/2016,32666
12/2/2016,36075
12/3/2016,31115
12/4/2016,23536
12/5/2016,25527
12/6/2016,28078
12/7/2016,31498
12/8/2016,28919
12/9/2016,27988
12/10/2016,25698
12/11/2016,28806
12/12/2016,31131
12/13/2016,32777
12/14/2016,32015
12/15/2016,42333
12/16/2016,28715
12/17/2016,23503
12/18/2016,23391
12/19/2016,28247
12/20/2016,29969
12/21/2016,28531
12/22/2016,29442
12/23/2016,24747
12/24/2016,20227
12/25/2016,19035
12/26/2016,23076
12/27/2016,25138
12/28/2016,28424
12/29/2016,27197
12/30/2016,24804
12/31/2016,20197
1/1/2017,26185
1/2/2017,28560
1/3/2017,31525
1/4/2017,28955
1/5/2017,35024
1/6/2017,37353
1/7/2017,33233
1/8/2017,30571
1/9/2017,32352
1/10/2017,33550
1/11/2017,35142
1/12/2017,30960
1/13/2017,33266
1/14/2017,34418
1/15/2017,26987
1/16/2017,37466
1/17/2017,32119
1/18/2017,30628
1/19/2017,32362
1/20/2017,30079
1/21/2017,29555
1/22/2017,33041
1/23/2017,37958
1/24/2017,33083
1/25/2017,31990
1/26/2017,32775
1/27/2017,29665
1/28/2017,28045
1/29/2017,55875
1/30/2017,32284
1/31/2017,31334
2/1/2017,30124
2/2/2017,31924
2/3/2017,27526
2/4/2017,24955
2/5/2017,30714
2/6/2017,33347
2/7/2017,37804
2/8/2017,33664
2/9/2017,36645
2/10/2017,29067
2/11/2017,24300
2/12/2017,29004
2/13/2017,32764
2/14/2017,33632
2/15/2017,30330
2/16/2017,30942
2/17/2017,28747
2/18/2017,26708
2/19/2017,26266
2/20/2017,37017
2/21/2017,32837
2/22/2017,36489
2/23/2017,33894
2/24/2017,33952
2/25/2017,28785
2/26/2017,27813
2/27/2017,31283
2/28/2017,30633
3/1/2017,33258
3/2/2017,29234
3/3/2017,28912
3/4/2017,23709
3/5/2017,23970
3/6/2017,31878
3/7/2017,30962
3/8/2017,29290
3/9/2017,28652
3/10/2017,27218
3/11/2017,25319
3/12/2017,26416
3/13/2017,28475
3/14/2017,31696
3/15/2017,31997
3/16/2017,30443
3/17/2017,28411
3/18/2017,23845
3/19/2017,25132
3/20/2017,29705
3/21/2017,26941
3/22/2017,34204
3/23/2017,31416
3/24/2017,30360
3/25/2017,25596
3/26/2017,36487
3/27/2017,35773
3/28/2017,30866
3/29/2017,29235
3/30/2017,30333
3/31/2017,30709
4/1/2017,23762
4/2/2017,24969
4/3/2017,33614
4/4/2017,35923
4/5/2017,31198
4/6/2017,32455
4/7/2017,28156
4/8/2017,24879
4/9/2017,23871
4/10/2017,30624
4/11/2017,33896
4/12/2017,31360
4/13/2017,27592
4/14/2017,31720
4/15/2017,27999
4/16/2017,27037
4/17/2017,31801
4/18/2017,30731
4/19/2017,56682
4/20/2017,32813
4/21/2017,28301
4/22/2017,25124
4/23/2017,24741
4/24/2017,36291
4/25/2017,32177
4/26/2017,30675
4/27/2017,51977
4/28/2017,26987
4/29/2017,23219
4/30/2017,25788
5/1/2017,30580
5/2/2017,30175
5/3/2017,29907
5/4/2017,32716
5/5/2017,32642
5/6/2017,28752
5/7/2017,25898
5/8/2017,39028
5/9/2017,46944
5/10/2017,39860
5/11/2017,46743
5/12/2017,29197
5/13/2017,26105
5/14/2017,28039
5/15/2017,35563
5/16/2017,35443
5/17/2017,35114
5/18/2017,37373
5/19/2017,31868
5/20/2017,30077
5/21/2017,25970
5/22/2017,32100
5/23/2017,35395
5/24/2017,39844
5/25/2017,44889
5/26/2017,39374
5/27/2017,26679
5/28/2017,26758
5/29/2017,32635
5/30/2017,37686
5/31/2017,48219
6/1/2017,43336
6/2/2017,50825
6/3/2017,44143
6/4/2017,44193
6/5/2017,56336
6/6/2017,47989
6/7/2017,47885
6/8/2017,43983
6/9/2017,44776
6/10/2017,42018
6/11/2017,34311
6/12/2017,39694
6/13/2017,41098
6/14/2017,38289
6/15/2017,35351
6/16/2017,39123
6/17/2017,40941
6/18/2017,33112
6/19/2017,38418
6/20/2017,45829
6/21/2017,42424
6/22/2017,54267
6/23/2017,38842
